time,d2w,d2w_range,d2w_ROC,d2w_spike,d2w_FlatLine,label
2018-12-15 23:30:00,1328.4476190476196,1,1,1,1,1
2018-12-15 23:35:00,1314.6661904761909,1,1,1,1,1
2018-12-15 23:40:00,1323.4919047619044,1,1,1,1,1
2018-12-15 23:45:00,1335.6390476190472,1,1,1,1,1
2018-12-15 23:50:00,1345.1219999999996,1,1,1,1,1
2018-12-15 23:55:00,1333.0261904761905,1,1,1,1,1
2018-12-16 00:00:00,1332.7580000000005,1,1,1,1,1
2018-12-16 00:05:00,1348.5759999999998,1,1,1,1,1
2018-12-16 00:10:00,1356.3800000000006,1,1,1,1,1
2018-12-16 00:15:00,1352.6,1,1,1,1,1
2018-12-16 00:20:00,1353.1150000000002,1,1,1,1,1
2018-12-16 00:25:00,1353.4038095238095,1,1,1,1,1
2018-12-16 00:30:00,1356.7240909090906,1,1,1,1,1
2018-12-16 00:35:00,1360.1595833333333,1,1,1,1,1
2018-12-16 00:40:00,1366.836,1,1,1,1,1
2018-12-16 00:45:00,1365.9700000000005,1,1,1,1,1
2018-12-16 00:50:00,1368.4199999999992,1,1,1,1,1
2018-12-16 00:55:00,1364.9717391304346,1,1,1,1,1
2018-12-16 01:00:00,1374.638636363636,1,1,1,1,1
2018-12-16 01:05:00,1376.6687499999994,1,1,1,1,1
2018-12-16 01:10:00,1385.6343478260876,1,1,1,1,1
2018-12-16 01:15:00,1380.304,1,1,1,1,1
2018-12-16 01:20:00,1396.0360000000005,1,1,1,1,1
2018-12-16 01:25:00,1397.8021739130436,1,1,1,1,1
2018-12-16 01:30:00,1393.7554166666666,1,1,1,1,1
2018-12-16 01:35:00,1401.154,1,1,1,1,1
2018-12-16 01:40:00,1405.646,1,1,1,1,1
2018-12-16 01:45:00,1399.6158333333335,1,1,1,1,1
2018-12-16 01:50:00,1407.3991666666666,1,1,1,1,1
2018-12-16 01:55:00,1407.3719999999994,1,1,1,1,1
2018-12-16 02:00:00,1407.9973913043482,1,1,1,1,1
2018-12-16 02:05:00,1411.5480000000002,1,1,1,1,1
2018-12-16 02:10:00,1410.7379999999994,1,1,1,1,1
2018-12-16 02:15:00,1410.959583333333,1,1,1,1,1
2018-12-16 02:20:00,1412.7979166666669,1,1,1,1,1
2018-12-16 02:25:00,1409.0220000000006,1,1,1,1,1
2018-12-16 02:30:00,1426.4804545454544,1,1,1,1,1
2018-12-16 02:35:00,1437.112,1,1,1,1,1
2018-12-16 02:40:00,1411.7179999999994,1,3,1,1,1
2018-12-16 02:45:00,1414.4249999999995,1,1,1,1,1
2018-12-16 02:50:00,1431.3845833333335,1,1,1,1,1
2018-12-16 02:55:00,1419.5408333333332,1,1,1,1,1
2018-12-16 03:00:00,1426.5680000000002,1,1,1,1,1
2018-12-16 03:05:00,1422.3459999999993,1,1,1,1,1
2018-12-16 03:10:00,1434.5879999999993,1,1,1,1,1
2018-12-16 03:15:00,1449.303333333333,1,1,1,1,1
2018-12-16 03:20:00,1430.4863636363634,1,1,1,1,1
2018-12-16 03:25:00,1437.4,1,1,1,1,1
2018-12-16 03:30:00,1416.1366666666668,1,1,1,1,1
2018-12-16 03:35:00,1398.8554545454544,1,1,1,1,1
2018-12-16 03:40:00,1400.0676190476192,1,1,1,1,1
2018-12-16 03:45:00,1396.0239999999994,1,1,1,1,1
2018-12-16 03:50:00,1434.7531818181815,1,3,3,1,1
2018-12-16 03:55:00,1405.1095833333334,1,3,1,1,1
2018-12-16 04:00:00,1412.905909090909,1,1,1,1,1
2018-12-16 04:05:00,1394.4156521739133,1,1,1,1,1
